"","sp","si","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"97","Catharus minimus","LIMBO",0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Catharus minimus","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,3,3,2,0,6,5,2,0,1,1,0,0,2,1,0,0,2,0
"99","Catharus ustulatus","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,4,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"100","Catharus ustulatus","LIMBO",2,7,2,2,6,1,12,2,0,1,0,0,0,0,0,0,0,0,4,2,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"101","Catharus ustulatus","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,1,2,0,1,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
"102","Catharus ustulatus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,2,1,1,0,0,0,0,0
"103","Celeus castaneus","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Celeus castaneus","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Celeus castaneus","TORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Celeus elegans","BDFFP",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Celeus elegans","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Celeus elegans","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Celeus elegans","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"110","Celeus flavus","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"111","Ceratopipra chloromeros","TARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Ceratopipra erythrocephala","BDFFP",0,0,0,0,0,0,5,3,7,3,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"113","Ceratopipra erythrocephala","HARPI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,5,3,8,9,5,12,3,7,10,3,3,8,4,4,3,6,3,0,1,4,1
"114","Ceratopipra erythrocephala","PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,5,2,3,3,1,2,3,2,0,1,1,0,1,4,1,2,0,2,0,3
"115","Ceratopipra mentalis","AERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Ceratopipra mentalis","CANO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,40,17,11,11,11,15,1,0,0,0,5,10,0,7,8,28,9,0,0,2,0,0,0,0,0,0,0,0
